url_length,host_length,path_length,num_dots,num_hyphens,num_digits,num_slashes,has_at_symbol,has_raw_ip,digit_ratio,label
120,25,95,4,3,6,5,0,0,0.05,1
18,13,5,3,0,11,1,0,1,0.611,1
60,7,53,1,5,8,5,0,0,0.133,0
38,13,25,4,0,13,2,0,1,0.342,1
24,17,7,3,0,14,1,0,0,0.583,1
23,21,2,3,0,17,1,0,0,0.739,1
80,9,71,2,5,9,4,0,0,0.113,0
36,14,22,1,0,0,3,0,0,0.0,0
52,9,43,3,2,2,3,0,0,0.038,0
22,20,2,3,0,16,1,0,0,0.727,1
45,14,31,3,0,2,2,0,0,0.044,0
23,16,7,1,0,1,1,0,0,0.043,1
39,9,30,1,0,0,3,0,0,0.0,0
13,8,5,1,0,0,1,0,0,0.0,0
96,9,87,4,3,7,6,0,0,0.073,0
15,6,9,1,0,0,1,0,0,0.0,0
73,29,44,2,4,17,1,0,0,0.233,1
40,17,23,2,0,2,2,0,0,0.05,1
33,13,20,2,0,0,1,0,0,0.0,1
25,7,18,1,0,0,3,0,0,0.0,0
96,25,71,4,3,2,5,0,0,0.021,1
28,18,10,3,0,2,1,0,0,0.071,1
98,25,73,4,7,2,5,0,0,0.02,1
22,20,2,3,0,16,1,0,0,0.727,1
91,25,66,4,7,4,6,0,0,0.044,1
35,9,26,1,2,0,3,0,0,0.0,0
61,13,48,4,1,30,3,0,1,0.492,1
32,11,21,1,1,0,3,0,0,0.0,0
48,14,34,5,0,11,2,0,1,0.229,1
34,15,19,1,1,0,2,0,0,0.0,0
32,13,19,4,0,13,2,0,1,0.406,1
25,13,12,2,0,1,1,0,0,0.04,1
41,12,29,1,1,0,3,0,0,0.0,0
55,6,49,2,2,0,3,0,0,0.0,0
24,12,12,4,0,12,2,0,1,0.5,1
31,11,20,1,2,0,3,0,0,0.0,0
68,31,37,2,4,18,1,0,0,0.265,1
28,21,7,4,0,17,1,0,0,0.607,1
147,25,122,6,9,7,6,0,0,0.048,1
80,36,44,2,4,24,1,0,0,0.3,1
118,25,93,4,2,2,8,0,0,0.017,1
115,11,104,2,11,13,5,0,0,0.113,0
22,20,2,3,0,16,1,0,0,0.727,1
25,18,7,4,0,14,1,0,0,0.56,1
108,25,83,4,5,6,5,0,0,0.056,1
42,10,32,2,2,0,3,0,0,0.0,0
38,9,29,1,4,0,2,0,0,0.0,0
42,27,15,2,1,0,3,0,0,0.0,1
28,21,7,4,0,17,1,0,0,0.607,1
32,15,17,1,0,0,3,0,0,0.0,0
128,25,103,4,6,2,5,0,0,0.016,1
32,11,21,1,1,0,3,0,0,0.0,0
63,20,43,2,0,21,1,0,0,0.333,1
28,21,7,4,0,17,1,0,0,0.607,1
26,9,17,1,0,0,2,0,0,0.0,0
25,18,7,4,0,14,1,0,0,0.56,1
43,4,39,1,5,2,2,0,0,0.047,0
22,9,13,1,1,0,2,0,0,0.0,0
23,13,10,3,0,11,2,0,1,0.478,1
49,7,42,1,2,0,3,0,0,0.0,0
61,18,43,2,0,20,1,0,0,0.328,1
102,10,92,3,1,7,7,0,0,0.069,1
17,10,7,2,0,0,1,0,0,0.0,0
31,11,20,1,0,0,3,0,0,0.0,0
21,15,6,3,0,12,1,0,1,0.571,1
25,16,9,2,1,4,1,0,0,0.16,1
18,9,9,1,0,0,1,0,0,0.0,0
92,25,67,4,2,4,6,0,0,0.043,1
28,21,7,4,0,17,1,0,0,0.607,1
23,13,10,1,0,0,1,0,0,0.0,0
28,15,13,1,0,0,2,0,0,0.0,0
120,25,95,5,5,4,9,0,0,0.033,1
29,13,16,4,0,14,2,0,1,0.483,1
49,17,32,2,0,4,2,0,0,0.082,1
20,18,2,3,0,14,1,0,0,0.7,1
28,16,12,2,0,0,1,0,0,0.0,0
85,25,60,4,1,6,5,0,0,0.071,1
32,11,21,1,0,0,3,0,0,0.0,0
27,11,16,1,1,0,3,0,0,0.0,0
44,11,33,1,3,0,4,0,0,0.0,0
28,21,7,4,0,17,1,0,0,0.607,1
40,12,28,1,1,0,2,0,0,0.0,0
24,9,15,1,1,0,1,0,0,0.0,0
25,14,11,1,0,0,2,0,0,0.0,0
22,10,12,1,0,0,2,0,0,0.0,0
46,35,11,5,3,12,1,0,0,0.261,1
78,25,53,4,1,5,5,0,0,0.064,1
23,21,2,3,0,17,1,0,0,0.739,1
41,18,23,3,0,0,1,0,0,0.0,1
38,14,24,1,0,0,3,0,0,0.0,0
150,11,139,5,3,20,10,0,0,0.133,0
86,25,61,5,3,3,5,0,0,0.035,1
41,19,22,1,2,0,1,0,0,0.0,0
35,7,28,2,0,0,3,0,0,0.0,0
24,10,14,1,0,0,2,0,0,0.0,0
54,12,42,1,3,0,3,0,0,0.0,0
64,9,55,1,5,5,4,0,0,0.078,0
63,12,51,4,0,0,7,0,0,0.0,0
23,21,2,3,0,17,1,0,0,0.739,1
18,13,5,3,0,11,1,0,1,0.611,1
33,16,17,1,1,0,2,0,0,0.0,0
140,15,125,6,2,15,1,0,1,0.107,1
46,10,36,1,2,0,3,0,0,0.0,0
35,12,23,1,0,0,3,0,0,0.0,0
47,17,30,2,0,2,2,0,0,0.043,1
38,7,31,2,1,0,3,0,0,0.0,0
21,19,2,3,0,15,1,0,0,0.714,1
36,10,26,1,1,0,3,0,0,0.0,0
32,15,17,4,0,12,2,0,1,0.375,1
18,9,9,1,0,0,1,0,0,0.0,0
36,11,25,1,0,0,3,0,0,0.0,0
21,9,12,1,1,0,2,0,0,0.0,0
27,20,7,4,0,16,1,0,0,0.593,1
42,9,33,1,2,0,2,0,0,0.0,0
20,12,8,3,0,11,1,0,1,0.55,1
20,13,7,4,0,10,1,0,1,0.5,1
21,10,11,1,0,0,2,0,0,0.0,0
21,11,10,1,0,0,2,0,0,0.0,0
63,15,48,4,0,15,2,0,1,0.238,1
37,11,26,1,0,4,5,0,0,0.108,0
22,20,2,3,0,16,1,0,0,0.727,1
41,9,32,3,1,12,1,0,0,0.293,0
88,25,63,4,0,4,7,0,0,0.045,1
25,18,7,4,0,14,1,0,0,0.56,1
26,12,14,1,0,5,2,0,0,0.192,0
148,25,123,5,2,5,9,0,0,0.034,1
108,25,83,4,5,2,5,0,0,0.019,1
38,13,25,4,0,12,2,0,1,0.316,1
139,25,114,4,5,4,7,0,0,0.029,1
34,9,25,1,2,0,2,0,0,0.0,0
62,11,51,2,3,1,4,0,0,0.016,0
23,21,2,3,0,17,1,0,0,0.739,1
22,12,10,1,1,0,2,0,0,0.0,0
38,9,29,2,0,0,4,0,0,0.0,0
26,19,7,4,0,15,1,0,0,0.577,1
26,19,7,4,0,15,1,0,0,0.577,1
21,19,2,3,0,15,1,0,0,0.714,1
39,9,30,2,0,4,3,0,0,0.103,0
89,25,64,4,3,6,7,0,0,0.067,1
26,19,7,4,0,15,1,0,0,0.577,1
103,10,93,3,1,38,3,0,0,0.369,0
29,15,14,1,0,0,3,0,0,0.0,0
30,15,15,4,0,12,2,0,1,0.4,1
59,9,50,2,1,0,6,0,0,0.0,0
21,19,2,3,0,15,1,0,0,0.714,1
39,21,18,3,2,1,2,0,0,0.026,1
